username,display_name,follower_count,likes_count,video_count,region_code,average_likes,engagement_rate,follower_tier,follower_count_growth (%),likes_count_growth (%),video_count_growth
billieeilish,BILLIE EILISH,72777654,492525220,73,US,6746920.821917809,9.270593995675936,Celebrity,0.4427334247405117,0.8891713199985982,0.0
badbunny,Bad Bunny,35297479,418348051,9,PR,46483116.777777776,131.68962230355822,Celebrity,-0.11930597083151462,0.12024676553351506,0.0
chipmunksoftiktok,Chipmunks of TikTok,14684337,221381008,612,US,361733.67320261436,2.4633980628653123,Celebrity,-0.055501314087248205,0.24098273145454285,0.0
charlidamelio,charli d’amelio,156649078,11903605188,2834,US,4200284.117148906,2.6813334433726483,Celebrity,-0.07642177121527648,0.037724226644604335,-3.0
yessicadcs,Yessica y Moises 🦜,358401,5642010,116,MX,48638.01724137931,13.57083748130706,Mid-tier influencer,-0.18694144268570678,0.29246669183500207,0.0
therock,The Rock,80271898,644874022,433,US,1489316.4480369515,1.8553397703850871,Celebrity,0.046379867584543724,0.5163033222634607,8.0
the_pruld,ThePruld,561803,14787834,31,IT,477026.9032258064,84.90999571483357,Macro-influencer,-0.21822596176951709,0.0077766628973519715,0.0
mastertingus,mastertingus,2031165,64735571,294,AU,220189.01700680272,10.840528317827587,Mega-influencer,-0.31415468462680285,0.04203098787836443,3.0
txt.bighitent,TOMORROW X TOGETHER,27022372,1694075330,1193,KR,1420012.849958089,5.2549526368672925,Celebrity,0.7019850070896811,1.977238107823694,39.0
besttoks,besttoks,3575953,119269440,1404,GB,84949.7435897436,2.3755833365187855,Mega-influencer,-0.24435444201867307,0.0827236214071266,21.0
bdylanhollis,B. Dylan Hollis,10208142,272236149,390,US,698041.4076923077,6.838084812028552,Celebrity,-0.007778104967583719,0.21270356715191413,2.0
fisherbenny,Benjamin Bakke,4506421,120020537,423,NO,283736.4940898345,6.296271344595512,Mega-influencer,-0.24227652054701504,0.016519672795664964,2.0
sylvaniandrama,Sylvaniandrama,2481472,68066751,136,IE,500490.8161764706,20.16910995475551,Mega-influencer,2.3681105408402754,-2.611000193031103,-18.0
userbigbabywithdaoil,Byron Tremain Chandl,646929,8711515,389,US,22394.640102827765,3.4616843738382053,Macro-influencer,-0.15952291518852918,0.0007461388748110977,3.0
bellapoarch,Bella Poarch,93659900,2394908558,784,US,3054730.3035714286,3.261513522405457,Celebrity,-0.1819305807501396,0.08191828424707646,1.0
jacobwitzling,Jacob Witzling,1803312,42004226,113,US,371718.81415929203,20.61311709561585,Mega-influencer,-0.19957722235531067,0.04677148437397704,0.0
karna.val,🎀КАРНАВАЛ🎀,28613691,1681424287,2937,RU,572497.203609125,2.0007806878501797,Celebrity,0.09968654515770091,0.36571429635832303,10.0
kimberly.loaiza,Kimberly Loaiza,83564719,4138290121,2099,MX,1971553.1781800857,2.3593128796138068,Celebrity,0.051562430312246964,0.4169227505932033,10.0
parthpatel___,Parth Patel,424595,18996481,43,US,441778.62790697673,104.04706317949498,Mid-tier influencer,-0.21502843886527162,0.03576451870217436,0.0
enhypen,enhypen,29533283,1930938501,933,KR,2069601.8231511253,7.007693059898303,Celebrity,2.095286866685292,4.068225837297135,5.0
jasminechiswell,Jasmine Chiswell,18543160,1211771151,2042,US,593423.6782566112,3.20022950919159,Celebrity,0.36895006029177335,0.47673721190941276,32.0
y_chun,欸！雨群 YuChun,1859653,59248343,359,TW,165037.16713091923,8.874621616555306,Mega-influencer,-0.3129616116555078,9.282960031472947e-05,3.0
miakhalifa,Mia K.,40799489,681195870,737,US,924282.0488466757,2.265425551890308,Celebrity,0.29187375361490436,0.6166964870177502,6.0
domelipa,domelipa,76986233,5123349487,2361,MX,2169991.311732317,2.8186744917527227,Celebrity,-0.21934441187686116,0.22181990568546198,15.0
deepins,deepins,18492877,324176157,238,RU,1362084.6932773108,7.3654558632348595,Celebrity,0.04944065761103586,0.43262990498095144,1.0
kennethkaas,Kenneth Kaas,376799,19417090,77,NO,252170.0,66.92427527673905,Mid-tier influencer,-0.20567995137991343,0.009795494587499981,0.0
swagboygorringe,swagboygorringe,8789695,500923414,428,AU,1170381.808411215,13.315385896907856,Mega-influencer,-0.46582958794360896,0.03837732368405523,0.0
official_nct,NCT Official,14285197,1276241827,2167,KR,588944.0826026765,4.122757863280965,Celebrity,0.8517768428394792,2.541011375268145,94.0
jao,JÃO,1686696,23433899,85,BR,275692.9294117647,16.34514633412095,Mega-influencer,-0.22600397463443322,0.11296455617564964,0.0
loganpaul,Logan Paul,19007501,388934184,398,US,977221.567839196,5.141241701574531,Celebrity,-0.156838081976163,0.10143387139249246,2.0
pongamoslo_a_prueba,Pongámoslo a Prueba,46262893,1658356735,996,MX,1665016.8022088353,3.599033035415306,Celebrity,0.16684862315030752,0.5687515720192736,11.0
bintangemontersenyum,Tangemon,1173405,17754274,91,ID,195101.9120879121,16.62698830224109,Mega-influencer,1.3939773564966913,4.43213842480971,11.0
mero_428,Mero_428,1823322,22255056,110,DE,202318.69090909092,11.0961580515724,Mega-influencer,3.431374162106309,-0.5052155339442866,2.0
zeth,Zeth,12585698,488151863,302,US,1616396.8973509935,12.843124770282852,Celebrity,-0.3039084522765444,0.0613870442198845,0.0
addisonre,Addison,88502360,5243220989,308,US,17023444.76948052,19.23501787916223,Celebrity,-0.07535731250556482,0.035538708055778266,0.0
savanahmosss,Savanah Moss,11569424,304428592,649,US,469073.3312788906,4.054422512986736,Celebrity,-0.07574275089235212,0.1014283835731172,2.0
mackenzieziegler,kenzie,23783006,530977500,621,US,855036.231884058,3.5951562720206938,Celebrity,-0.014813098058336275,0.24913183703640926,14.0
kimandnorth,Kim and North,19223231,155903129,66,US,2362168.621212121,12.2880936155432,Celebrity,-0.44979431397354586,-86.05206249580789,-56.0
kimandnorth,Kim and North,19223231,155903132,66,US,2362168.6666666665,12.288093851999523,Celebrity,-0.44979431397354586,-86.05206276420412,-56.0
druskitv,Druski TV,207,385,5,US,77.0,37.19806763285024,Emerging,-35.265700483091784,8.831168831168831,3.0
alexisomman,Alexis Omman,24928546,492999236,582,MX,847077.7250859106,3.3980229937434405,Celebrity,2.9518929824467097,3.690119105985795,10.0
trungruoi93,Trung Ruồi,3016271,32520299,506,VN,64269.365612648224,2.130755678539767,Mega-influencer,-0.1668948181380254,0.28649798084574807,4.0
the_trickstars,The Trickstars,1982843,42588509,159,GB,267852.25786163524,13.508495521916522,Mega-influencer,-0.03182299355017013,0.593082514346769,1.0
os.sksk,os.sksk,6,15,3,SA,5.0,83.33333333333333,Emerging,0.0,0.0,0.0
soysuco,Soysuco,24570076,594215284,1002,EC,593029.2255489022,2.4136238957864933,Celebrity,0.4558309058547479,0.710753175443397,18.0
nekoglai,Николай,12454542,496439170,911,MD,544938.7156970362,4.375421558633278,Celebrity,-0.21569641019316488,0.09709689104508011,0.0
evlawler,Lawler,5277975,59221208,287,DO,206345.6724738676,3.909561384316288,Mega-influencer,-0.3896380714194364,0.10464156691974268,1.0
ahw5d,Ahmed 〽️,2524567,52423593,228,US,229928.0394736842,9.107622791301804,Mega-influencer,-0.23421838279594084,0.02061094896719498,5.0
axelwebber,Axel,3910133,277055857,430,US,644315.9465116279,16.478108200197482,Mega-influencer,,,
madison.darwin,madison darwin,56463,4849267,202,US,24006.272277227723,42.51682035532601,Mid-tier influencer,-0.3205639091086198,0.002247762393780338,1.0
alexschlab,Alex,1247263,41674804,33,US,1262872.8484848484,101.25152822498931,Mega-influencer,-0.4070512794815528,0.2617792755546013,4.0
masonramsey,Mason Ramsey,2878021,86320801,422,US,204551.66113744077,7.107372084409418,Mega-influencer,-0.08926272601902488,0.05177546950705427,0.0
connordewolfe,Connor DeWolfe,5564620,226977244,640,US,354651.94375,6.3733362520711205,Mega-influencer,-0.12662140451639106,0.12788594789705,1.0
drewafualo,Drew Afualo,8197243,476080972,1244,US,382701.7459807074,4.668664159165556,Mega-influencer,-0.13994949277458288,0.49644055087335015,21.0
johnnysins,JohnnySins,8202558,77911167,194,US,401603.95360824745,4.896081851640031,Mega-influencer,-0.3109152047446662,0.10574479008894835,2.0
fujiiian,Fujiiian,37276980,2248831910,1851,ID,1214928.0983252297,3.2591913248477473,Celebrity,1.0827271951751456,2.0479683161379545,61.0
willsmith,Will Smith,79707418,660268644,401,US,1646555.2219451373,2.0657490397507763,Celebrity,,,
