Instagram name, Name,Subscribers,Audience country,"Authentic engagement
","Engagement average
",Category_1,Category_2,subs_tier,engagement_rate
sofia9__official,SOFIA ANSARI,9100000.0,India,193100.0,268800.0,Lifestyle,Cinema & Actors/actresses,Mega-influencer,2.953846153846154
canyaman,Can Yaman,10000000.0,Italy,197900.0,246200.0,Cinema & Actors/actresses,Modeling,Celebrity,2.462
kashikakapoor09,Kashika Kapoor,9600000.0,Indonesia,236100.0,254500.0,Beauty,Lifestyle,Mega-influencer,2.6510416666666665
ykaaar,Damiano David/Måneskin,5200000.0,Italy,336700.0,462000.0,Cinema & Actors/actresses,,Mega-influencer,8.884615384615385
jimena.jimenezr,Jimena,5900000.0,Mexico,281500.0,406500.0,,,Mega-influencer,6.889830508474576
gongyoo_official,공유 gongyoo official,3600000.0,Indonesia,531800.0,668000.0,Lifestyle,,Mega-influencer,18.555555555555557
lilpump,Lil Pump,15000000.0,United States,100600.0,157500.0,,,Celebrity,1.05
reynmen,reyn,7100000.0,Turkey,264800.0,337400.0,Cinema & Actors/actresses,,Mega-influencer,4.752112676056338
soycintiacossio,Cintia Cossio,5700000.0,Colombia,335300.0,418700.0,Modeling,Adult content,Mega-influencer,7.34561403508772
pefabiodemelo,Fábio de Melo,25700000.0,Brazil,61000.0,92200.0,Lifestyle,,Celebrity,0.3587548638132296
urassayas,Urassaya Sperbund,11900000.0,Thailand,160100.0,194900.0,Cinema & Actors/actresses,Modeling,Celebrity,1.6378151260504201
ashleygraham,A S H L E Y  G R A H A M,19000000.0,United States,92700.0,122600.0,Modeling,,Celebrity,0.6452631578947369
_chaechae_1,김채원 (CHAEWON),2800000.0,South Korea,696800.0,838200.0,Lifestyle,,Mega-influencer,29.935714285714287
maxverstappen1,Max Verstappen,9100000.0,United States,195900.0,257600.00000000003,Racing Sports,,Mega-influencer,2.8307692307692314
antony00,Antony Santos,4000000.0,Brazil,322400.0,595700.0,Sports with a ball,,Mega-influencer,14.8925
gun_atthaphan,ATp,5600000.0,Indonesia,349300.0,418100.0,Lifestyle,,Mega-influencer,7.4660714285714285
sinavaliollah,Sina Valiollah,7300000.0,Iran,256200.0,323200.0,Shows,,Mega-influencer,4.427397260273972
moneybaggyo,Certified Speaker,8400000.0,United States,119000.0,283900.0,Lifestyle,,Mega-influencer,3.3797619047619047
hannahelzahed,Hannah El-Zahed,18100000.0,Egypt,103900.0,128500.0,Cinema & Actors/actresses,,Celebrity,0.7099447513812155
hasnaink07,Hasnain khan,13100000.0,India,143300.0,179300.0,,,Celebrity,1.368702290076336
cobratate,Emory Andrew Tate III,4700000.0,Romania,311000.0,506800.0,Lifestyle,Racing Sports,Mega-influencer,10.782978723404256
burnaboygram,Burna Boy,11400000.0,Nigeria,110600.0,203100.0,,,Celebrity,1.7815789473684212
eunbining0904,박은빈,2900000.0,South Korea,690100.0,814700.0,,,Mega-influencer,28.093103448275862
fortnite,Fortnite,25700000.0,United States,76300.0,90200.0,Computers & Gadgets,,Celebrity,0.35097276264591437
armaanmalik,ARMAAN MALIK 🧿,13200000.0,India,151600.0,175600.0,,,Celebrity,1.3303030303030303
julienco_,! Julian,6400000.0,Germany,294100.0,362300.0,Lifestyle,Family,Mega-influencer,5.6609375
