Date,Views,Likes
2019-10-29,50319,797
2019-10-30,11632,213
2019-10-31,16359,266
2019-11-02,13814,219
2019-11-03,10253,189
2019-11-04,21566,337
2019-11-05,12741,265
2019-11-07,23727,393
2019-11-08,38171,829
2019-11-09,14770,242
2019-11-10,14679,245
2019-11-11,156431,2389
2019-11-12,21375,299
2019-11-13,172239,2440
2019-11-14,92344,1539
2019-11-15,18149,679
2019-11-16,16834,308
2019-11-18,15572,281
2019-11-19,13559,249
2019-11-20,10066,208
2019-11-21,18645,374
2019-11-25,11362,220
2019-11-26,271020,4340
2019-11-27,13594,248
2019-11-28,20170,450
2019-11-29,20815,392
2019-11-30,11373,230
2019-12-01,71737,1304
2019-12-02,23012,463
2019-12-03,983867,16314
2019-12-04,49770,819
2019-12-05,21967,363
2019-12-06,19938,352
2019-12-07,30136,601
2019-12-10,1003025,16907
2019-12-11,50340,856
2019-12-12,77839,1105
2019-12-13,38587,684
2019-12-14,93118,1367
2019-12-15,34346,660
2019-12-16,37642,831
2019-12-17,30888,406
2019-12-18,96238,1642
2019-12-19,190906,3308
2019-12-20,24829,514
2019-12-21,112896,2613
2019-12-22,54290,935
2019-12-23,31583,521
2019-12-24,19719,353
2019-12-25,36992,678
2019-12-26,24393,552
2019-12-27,21718,533
2019-12-29,62107,1597
2019-12-31,36561,930
2020-01-01,45021,1197
2020-01-02,167354,2757
2020-01-03,78406,963
2020-01-04,25649,731
2020-01-05,32207,830
2020-01-06,28702,745
2020-01-07,65258,1036
2020-01-09,154658,2472
2020-01-10,34200,809
2020-01-11,162940,3552
2020-01-12,55252,860
2020-01-13,25507,402
2020-01-14,121831,2255
2020-01-15,27596,494
2020-01-16,79230,1424
2020-01-17,46340,896
2020-01-18,123870,1848
2020-01-19,23959,603
2020-01-20,258122,4228
2020-01-22,30437,446
2020-01-23,25106,360
2020-01-24,177039,3945
2020-01-25,37057,643
2020-01-26,37699,714
2020-01-27,16569,362
2020-01-28,60152,1601
2020-01-30,29234,664
2020-01-31,562385,11369
2020-02-02,57440,1169
2020-02-03,24069,523
2020-02-04,14994,313
2020-02-05,18199,436
2020-02-06,52820,1100
2020-02-07,51391,1012
2020-02-08,48804,935
2020-02-09,34554,649
2020-02-10,22508,532
2020-02-11,24141,495
2020-02-12,265127,3750
2020-02-14,37929,993
2020-02-15,28510,589
2020-02-17,42394,822
2020-02-19,16057,332
2020-02-20,26157,461
2020-02-21,448401,6135
2020-02-22,29130,432
2020-02-25,90437,1353
2020-02-26,40640,624
2020-02-27,24377,497
2020-02-28,44361,852
2020-03-01,43274,777
2020-03-03,33440,642
2020-03-04,102070,2245
2020-03-05,27118,507
2020-03-06,31941,658
2020-03-08,31187,580
2020-03-10,15423,393
2020-03-12,16074,363
2020-03-13,26559,494
2020-03-14,26445,674
2020-03-15,111378,3169
2020-03-17,32352,634
2020-03-19,30811,462
2020-03-22,39636,908
2020-03-23,24649,437
2020-03-24,38991,640
2020-03-26,28902,497
2020-03-28,36061,696
2020-04-01,682799,11395
2020-04-02,218414,3550
2020-04-03,129160,2090
2020-04-04,2256213,52656
2020-04-05,129139,2022
2020-04-06,224682,5868
2020-04-07,98715,1561
2020-04-08,74235,1653
2020-04-09,93572,1538
2020-04-10,797316,16605
2020-04-11,128182,1845
2020-04-13,205867,3889
2020-04-14,18933,523
2020-04-16,16113,369
2020-04-17,45617,874
2020-04-18,107849,1938
2020-04-19,85403,1869
2020-04-20,58365,2762
2020-04-21,58983,1374
2020-04-22,35074,846
2020-04-23,102447,2075
2020-04-24,241649,6535
2020-04-25,54525,970
2020-04-27,4141481,76046
2020-04-28,207665,4791
2020-04-29,60787,1924
2020-04-30,152939,2419
2020-05-01,42950,864
2020-05-03,87837,1802
2020-05-04,771739,12018
2020-05-05,201740,3797
2020-05-06,303795,6408
2020-05-09,492601,7763
2020-05-10,120305,1856
2020-05-11,120392,2273
2020-05-13,687918,17169
2020-05-13,43900,2801
2020-05-14,87630,1748
2020-05-15,352489,6676
2020-05-16,174470,3122
2020-05-18,579338,10536
2020-05-18,149380,3435
2020-05-20,833967,11505
2020-05-21,72027,1257
2020-05-22,1214687,28695
2020-05-23,737872,11185
2020-05-24,523084,12029
2020-05-25,1178885,52411
2020-05-25,77077,2566
2020-05-26,244867,4373
2020-05-27,297396,8156
2020-05-27,699797,19474
2020-05-28,576087,13494
2020-05-28,98677,2464
2020-05-29,574172,18564
2020-05-30,283936,9744
2020-05-30,840078,13818
2020-05-31,59164,1586
2020-05-31,396800,6235
2020-06-01,113926,2355
2020-06-02,55545,1073
2020-06-02,66664,1036
2020-06-03,163389,3378
2020-06-03,18745,252
2020-06-04,181902,3391
2020-06-04,48379,846
2020-06-05,164338,3004
2020-06-05,127903,5071
2020-06-06,215903,4292
2020-06-06,677557,14258
2020-06-07,116018,2090
2020-06-07,128425,2361
2020-06-08,722933,18327
2020-06-08,79593,2291
2020-06-09,215161,3849
2020-06-09,44987,904
2020-06-09,344584,12629
2020-06-09,98571,1851
2020-06-10,240732,8441
2020-06-10,157310,3099
2020-06-11,302161,5475
2020-06-11,83243,1811
2020-06-12,280605,10809
2020-06-12,238590,6444
2020-06-12,891198,18844
2020-06-12,81390,2027
2020-06-13,136294,2575
2020-06-13,9169301,172480
2020-06-14,796428,20099
2020-06-14,67395,1220
2020-06-14,363110,6220
2020-06-15,336043,8884
2020-06-15,70504,1655
2020-06-15,461525,9667
2020-06-16,1308629,25724
2020-06-16,411828,8547
2020-06-17,228127,3800
2020-06-17,326070,7297
2020-06-17,92509,1959
2020-06-18,166231,4436
2020-06-18,75393,1643
2020-06-18,52342,1747
2020-06-19,207957,6960
2020-06-19,399994,7298
2020-06-19,452709,10467
2020-06-20,181631,3774
2020-06-20,373180,12136
2020-06-21,110060,2660
2020-06-22,25296,618
2020-06-22,95606,2232
2020-06-23,1188996,29151
2020-06-23,125412,2793
2020-06-23,100001,1969
2020-06-24,1025588,24408
2020-06-24,44543,1074
2020-06-25,915243,22216
2020-06-25,461930,11640
2020-06-26,671196,14162
2020-06-26,80413,2449
2020-06-26,32974,921
2020-06-26,31016,839
2020-06-26,16138,446
2020-06-26,26233,637
2020-06-27,59541,1414
2020-06-27,187712,4477
2020-06-28,162242,4878
2020-06-28,807135,31465
2020-06-28,279875,6408
2020-06-29,115696,2383
2020-06-29,69646,1391
2020-06-29,399442,9334
2020-06-30,286259,7019
2020-06-30,76568,1709
2020-06-30,76674,2671
2020-07-01,145373,2999
2020-07-01,155778,2889
2020-07-02,70326,1537
2020-07-02,423449,13053
2020-07-02,166196,4018
2020-07-03,334190,14687
2020-07-03,68891,1518
2020-07-03,52413,1641
2020-07-04,1215061,18227
2020-07-04,135408,3819
2020-07-04,73115,1544
2020-07-05,160317,4972
2020-07-06,111978,1997
2020-07-07,845114,18009
2020-07-07,62428,1414
2020-07-07,4741977,77753
2020-07-08,5198263,64054
2020-07-08,161403,4278
2020-07-09,367198,5703
2020-07-09,7699546,177717
2020-07-10,618263,15398
2020-07-10,359892,11150
2020-07-10,48071,931
2020-07-11,100950,1810
2020-07-11,208011,4380
2020-07-11,90083,2309
2020-07-12,172130,3186
